,code,entity,year,hydro_(%_equivalent_primary_energy)
0,45,Africa,1965,5.7402806
1,45,Africa,1966,6.1139693
2,45,Africa,1967,6.31658
3,45,Africa,1968,6.994845
4,45,Africa,1969,7.9439163
5,45,Africa,1970,9.148895
6,45,Africa,1971,8.07007
7,45,Africa,1972,8.695006
8,45,Africa,1973,8.491902
9,45,Africa,1974,9.203637
10,45,Africa,1975,9.183559
11,45,Africa,1976,9.3716
12,45,Africa,1977,9.759737
13,45,Africa,1978,9.475388
14,45,Africa,1979,9.308776
15,45,Africa,1980,8.442392
16,45,Africa,1981,7.816104
17,45,Africa,1982,7.3362
18,45,Africa,1983,6.4208775
19,45,Africa,1984,6.1238065
20,45,Africa,1985,6.5409303
21,45,Africa,1986,6.6294746
22,45,Africa,1987,6.16017
23,45,Africa,1988,6.2873797
24,45,Africa,1989,6.5919766
25,45,Africa,1990,6.492127
26,45,Africa,1991,6.884996
27,45,Africa,1992,6.470675
28,45,Africa,1993,6.321601
29,45,Africa,1994,6.214147
30,45,Africa,1995,6.197879
31,45,Africa,1996,6.30146
32,45,Africa,1997,6.322848
33,45,Africa,1998,6.499724
34,45,Africa,1999,6.6877394
35,45,Africa,2000,6.963266
36,45,Africa,2001,7.1776347
37,45,Africa,2002,7.4021826
38,45,Africa,2003,6.81335
39,45,Africa,2004,6.659455
40,45,Africa,2005,6.7200675
41,45,Africa,2006,6.787778
42,45,Africa,2007,6.7203817
43,45,Africa,2008,6.4185834
44,45,Africa,2009,6.4412365
45,45,Africa,2010,6.715142
46,45,Africa,2011,6.8089514
47,45,Africa,2012,6.5357842
48,45,Africa,2013,6.6774273
49,45,Africa,2014,6.8261805
50,45,Africa,2015,6.4169736
51,45,Africa,2016,6.0345974
52,45,Africa,2017,6.2715507
53,45,Africa,2018,6.5150356
54,45,Africa,2019,6.5602393
55,45,Africa,2020,7.3725195
56,45,Africa,2021,7.1031094
57,45,Africa,2022,7.2615175
58,1,Africa (EI),1965,5.7402806
59,1,Africa (EI),1966,6.113969
60,1,Africa (EI),1967,6.31658
61,1,Africa (EI),1968,6.994845
62,1,Africa (EI),1969,7.9439154
63,1,Africa (EI),1970,9.148896
64,1,Africa (EI),1971,8.070072
65,1,Africa (EI),1972,8.695007
66,1,Africa (EI),1973,8.491901
67,1,Africa (EI),1974,9.203638
68,1,Africa (EI),1975,9.183558
69,1,Africa (EI),1976,9.371599
70,1,Africa (EI),1977,9.75974
71,1,Africa (EI),1978,9.475388
72,1,Africa (EI),1979,9.308776
73,1,Africa (EI),1980,8.442392
74,1,Africa (EI),1981,7.816104
75,1,Africa (EI),1982,7.3362
76,1,Africa (EI),1983,6.4208775
77,1,Africa (EI),1984,6.1238065
78,1,Africa (EI),1985,6.5409303
79,1,Africa (EI),1986,6.6294746
80,1,Africa (EI),1987,6.16017
81,1,Africa (EI),1988,6.2873797
82,1,Africa (EI),1989,6.591977
83,1,Africa (EI),1990,6.492127
84,1,Africa (EI),1991,6.884996
85,1,Africa (EI),1992,6.470675
86,1,Africa (EI),1993,6.321601
87,1,Africa (EI),1994,6.214147
88,1,Africa (EI),1995,6.1978784
89,1,Africa (EI),1996,6.30146
90,1,Africa (EI),1997,6.322849
91,1,Africa (EI),1998,6.499725
92,1,Africa (EI),1999,6.687739
93,1,Africa (EI),2000,6.963266
94,1,Africa (EI),2001,7.1776347
95,1,Africa (EI),2002,7.402183
96,1,Africa (EI),2003,6.813351
97,1,Africa (EI),2004,6.6594543
98,1,Africa (EI),2005,6.720067
99,1,Africa (EI),2006,6.787778
100,1,Africa (EI),2007,6.7203817
101,1,Africa (EI),2008,6.4185834
102,1,Africa (EI),2009,6.4412365
103,1,Africa (EI),2010,6.715142
104,1,Africa (EI),2011,6.8089514
105,1,Africa (EI),2012,6.5357842
106,1,Africa (EI),2013,6.6774273
107,1,Africa (EI),2014,6.8261805
108,1,Africa (EI),2015,6.416974
109,1,Africa (EI),2016,6.0345974
110,1,Africa (EI),2017,6.2715507
111,1,Africa (EI),2018,6.5150356
112,1,Africa (EI),2019,6.5602384
113,1,Africa (EI),2020,7.3725195
114,1,Africa (EI),2021,7.1031084
115,1,Africa (EI),2022,7.2615185
116,47,Algeria,1965,4.7630677
117,47,Algeria,1966,3.518747
118,47,Algeria,1967,4.291954
119,47,Algeria,1968,5.4861946
120,47,Algeria,1969,3.1827633
121,47,Algeria,1970,4.6656837
122,47,Algeria,1971,2.4559188
123,47,Algeria,1972,3.278343
124,47,Algeria,1973,4.175826
125,47,Algeria,1974,2.494738
126,47,Algeria,1975,1.3782818
127,47,Algeria,1976,1.4010222
128,47,Algeria,1977,0.8817282
129,47,Algeria,1978,0.6521151
130,47,Algeria,1979,0.5792936
131,47,Algeria,1980,0.4290016
132,47,Algeria,1981,0.50294036
133,47,Algeria,1982,0.5708701
134,47,Algeria,1983,0.25644946
135,47,Algeria,1984,0.5136736
136,47,Algeria,1985,0.72826535
137,47,Algeria,1986,0.2664045
138,47,Algeria,1987,0.5174274
139,47,Algeria,1988,0.17717436
140,47,Algeria,1989,0.2249582
141,47,Algeria,1990,0.1267387
142,47,Algeria,1991,0.277607
143,47,Algeria,1992,0.18375748
144,47,Algeria,1993,0.35028014
145,47,Algeria,1994,0.16257899
146,47,Algeria,1995,0.18224756
147,47,Algeria,1996,0.1288034
148,47,Algeria,1997,0.074455895
149,47,Algeria,1998,0.20617963
150,47,Algeria,1999,0.1927434
151,47,Algeria,2000,0.053235486
152,47,Algeria,2001,0.065218486
153,47,Algeria,2002,0.05167676
154,47,Algeria,2003,0.228104
155,47,Algeria,2004,0.2067869
156,47,Algeria,2005,0.43411884
157,47,Algeria,2006,0.16327195
158,47,Algeria,2007,0.15990457
159,47,Algeria,2008,0.1877543
160,47,Algeria,2009,0.21278548
161,47,Algeria,2010,0.10938061
162,47,Algeria,2011,0.22449896
163,47,Algeria,2012,0.21009883
164,47,Algeria,2013,0.050247304
165,47,Algeria,2014,0.08928346
166,47,Algeria,2015,0.06323395
167,47,Algeria,2016,0.031239543
168,47,Algeria,2017,0.02389123
169,47,Algeria,2018,0.04622772
170,47,Algeria,2019,0.057704102
171,47,Algeria,2020,0.020074604
172,47,Algeria,2021,0.0034612673
173,47,Algeria,2022,0.029228311
174,2,Argentina,1965,1.1026944
175,2,Argentina,1966,1.0818663
176,2,Argentina,1967,1.0765308
177,2,Argentina,1968,1.2272897
178,2,Argentina,1969,1.0651326
179,2,Argentina,1970,1.3025699
180,2,Argentina,1971,1.2200255
181,2,Argentina,1972,1.1709931
182,2,Argentina,1973,2.2356398
183,2,Argentina,1974,3.5823324
184,2,Argentina,1975,3.815696
185,2,Argentina,1976,3.5080485
186,2,Argentina,1977,3.8627214
187,2,Argentina,1978,5.181015
188,2,Argentina,1979,6.6389933
189,2,Argentina,1980,9.485084
190,2,Argentina,1981,9.481711
191,2,Argentina,1982,11.1508045
192,2,Argentina,1983,11.211902
193,2,Argentina,1984,12.061015
194,2,Argentina,1985,12.680371
195,2,Argentina,1986,12.220099
196,2,Argentina,1987,12.183254
197,2,Argentina,1988,8.344362
198,2,Argentina,1989,7.478313
199,2,Argentina,1990,10.20964
200,2,Argentina,1991,9.000762
201,2,Argentina,1992,10.132311
202,2,Argentina,1993,12.162937
203,2,Argentina,1994,13.254198
204,2,Argentina,1995,12.474777
205,2,Argentina,1996,10.111954
206,2,Argentina,1997,12.421557
207,2,Argentina,1998,11.372011
208,2,Argentina,1999,9.089665
209,2,Argentina,2000,12.092079
210,2,Argentina,2001,15.745199
211,2,Argentina,2002,15.95672
212,2,Argentina,2003,13.9736395
213,2,Argentina,2004,11.785714
214,2,Argentina,2005,12.393932
215,2,Argentina,2006,13.023855
216,2,Argentina,2007,10.198026
217,2,Argentina,2008,9.994887
218,2,Argentina,2009,11.340457
219,2,Argentina,2010,10.474692
220,2,Argentina,2011,9.463735
221,2,Argentina,2012,8.473704
222,2,Argentina,2013,9.1008625
223,2,Argentina,2014,8.962526
224,2,Argentina,2015,8.735121
225,2,Argentina,2016,8.025734
226,2,Argentina,2017,8.481119
227,2,Argentina,2018,8.675871
228,2,Argentina,2019,7.8180246
229,2,Argentina,2020,7.1466336
230,2,Argentina,2021,5.3240123
231,2,Argentina,2022,6.2222605
232,3,Asia,1965,7.891082
233,3,Asia,1966,7.583474
234,3,Asia,1967,6.7648554
235,3,Asia,1968,6.967211
236,3,Asia,1969,6.3633933
237,3,Asia,1970,5.7494335
238,3,Asia,1971,5.728971
239,3,Asia,1972,5.575405
240,3,Asia,1973,4.7841735
241,3,Asia,1974,5.325627
242,3,Asia,1975,5.5349035
243,3,Asia,1976,5.3819156
244,3,Asia,1977,4.955749
245,3,Asia,1978,4.876427
246,3,Asia,1979,4.9912844
247,3,Asia,1980,5.3363366
248,3,Asia,1981,5.6064115
249,3,Asia,1982,5.4306593
250,3,Asia,1983,5.386808
251,3,Asia,1984,5.0020227
252,3,Asia,1985,5.066181
253,3,Asia,1986,4.8996196
254,3,Asia,1987,4.802818
255,3,Asia,1988,5.1587
256,3,Asia,1989,5.037128
257,3,Asia,1990,5.1099334
258,3,Asia,1991,4.9712563
259,3,Asia,1992,4.7939157
260,3,Asia,1993,5.112516
261,3,Asia,1994,4.824955
262,3,Asia,1995,4.98866
263,3,Asia,1996,4.7471957
264,3,Asia,1997,4.594721
265,3,Asia,1998,4.8629136
266,3,Asia,1999,4.588144
267,3,Asia,2000,4.5476837
268,3,Asia,2001,4.7150784
269,3,Asia,2002,4.622914
270,3,Asia,2003,4.426757
271,3,Asia,2004,4.726938
272,3,Asia,2005,4.5254865
273,3,Asia,2006,4.6800966
274,3,Asia,2007,4.601787
275,3,Asia,2008,5.023887
276,3,Asia,2009,4.749221
277,3,Asia,2010,5.103238
278,3,Asia,2011,4.883746
279,3,Asia,2012,5.307413
280,3,Asia,2013,5.553283
281,3,Asia,2014,5.8640776
282,3,Asia,2015,5.9576855
283,3,Asia,2016,6.038193
284,3,Asia,2017,5.957622
285,3,Asia,2018,5.8451204
286,3,Asia,2019,6.0502825
287,3,Asia,2020,6.2189107
288,3,Asia,2021,5.7713785
289,3,Asia,2022,5.762788
290,4,Asia Pacific (EI),1965,8.815359
291,4,Asia Pacific (EI),1966,8.445241
292,4,Asia Pacific (EI),1967,7.596487
293,4,Asia Pacific (EI),1968,7.7583685
294,4,Asia Pacific (EI),1969,7.0702477
295,4,Asia Pacific (EI),1970,6.452001
296,4,Asia Pacific (EI),1971,6.500092
297,4,Asia Pacific (EI),1972,6.3094893
298,4,Asia Pacific (EI),1973,5.528943
299,4,Asia Pacific (EI),1974,6.075548
300,4,Asia Pacific (EI),1975,6.2478614
301,4,Asia Pacific (EI),1976,5.9794245
302,4,Asia Pacific (EI),1977,5.5018573
303,4,Asia Pacific (EI),1978,5.3766966
304,4,Asia Pacific (EI),1979,5.572206
305,4,Asia Pacific (EI),1980,5.896176
306,4,Asia Pacific (EI),1981,6.2016125
307,4,Asia Pacific (EI),1982,5.9909344
308,4,Asia Pacific (EI),1983,6.07883
309,4,Asia Pacific (EI),1984,5.6777215
310,4,Asia Pacific (EI),1985,5.788181
311,4,Asia Pacific (EI),1986,5.699636
312,4,Asia Pacific (EI),1987,5.375057
313,4,Asia Pacific (EI),1988,5.544492
314,4,Asia Pacific (EI),1989,5.640223
315,4,Asia Pacific (EI),1990,5.578994
316,4,Asia Pacific (EI),1991,5.485183
317,4,Asia Pacific (EI),1992,5.1309953
318,4,Asia Pacific (EI),1993,5.3416634
319,4,Asia Pacific (EI),1994,5.102243
320,4,Asia Pacific (EI),1995,5.288085
321,4,Asia Pacific (EI),1996,4.9449415
322,4,Asia Pacific (EI),1997,4.8219957
323,4,Asia Pacific (EI),1998,5.143746
324,4,Asia Pacific (EI),1999,4.8974676
325,4,Asia Pacific (EI),2000,4.9178586
326,4,Asia Pacific (EI),2001,5.173285
327,4,Asia Pacific (EI),2002,4.9748154
328,4,Asia Pacific (EI),2003,4.6863766
329,4,Asia Pacific (EI),2004,4.98688
330,4,Asia Pacific (EI),2005,4.787423
331,4,Asia Pacific (EI),2006,4.9498463
332,4,Asia Pacific (EI),2007,4.9234176
333,4,Asia Pacific (EI),2008,5.569419
334,4,Asia Pacific (EI),2009,5.2554426
335,4,Asia Pacific (EI),2010,5.566992
336,4,Asia Pacific (EI),2011,5.3634224
337,4,Asia Pacific (EI),2012,5.8282557
338,4,Asia Pacific (EI),2013,6.1217318
339,4,Asia Pacific (EI),2014,6.598234
340,4,Asia Pacific (EI),2015,6.6284537
341,4,Asia Pacific (EI),2016,6.749992
342,4,Asia Pacific (EI),2017,6.663006
343,4,Asia Pacific (EI),2018,6.558845
344,4,Asia Pacific (EI),2019,6.563213
345,4,Asia Pacific (EI),2020,6.839022
346,4,Asia Pacific (EI),2021,6.4515343
347,4,Asia Pacific (EI),2022,6.462793
348,5,Australia,1965,5.340691
349,5,Australia,1966,4.86867
350,5,Australia,1967,4.753871
351,5,Australia,1968,4.6860347
352,5,Australia,1969,4.915288
353,5,Australia,1970,5.2753077
354,5,Australia,1971,5.6825237
355,5,Australia,1972,5.4565244
356,5,Australia,1973,5.42747
357,5,Australia,1974,5.762744
358,5,Australia,1975,6.0813727
359,5,Australia,1976,5.587167
360,5,Australia,1977,5.095537
361,5,Australia,1978,5.349327
362,5,Australia,1979,5.007234
363,5,Australia,1980,4.7166986
364,5,Australia,1981,4.7800093
365,5,Australia,1982,4.442979
366,5,Australia,1983,4.3668876
367,5,Australia,1984,4.5533056
368,5,Australia,1985,4.697283
369,5,Australia,1986,4.6344733
370,5,Australia,1987,4.3700223
371,5,Australia,1988,4.3994775
372,5,Australia,1989,4.164472
373,5,Australia,1990,4.224702
374,5,Australia,1991,4.5144806
375,5,Australia,1992,4.5230637
376,5,Australia,1993,4.5538177
377,5,Australia,1994,4.3199315
378,5,Australia,1995,4.0042224
379,5,Australia,1996,3.9741788
380,5,Australia,1997,3.8751204
381,5,Australia,1998,3.7481647
382,5,Australia,1999,3.710974
383,5,Australia,2000,3.730389
384,5,Australia,2001,3.601031
385,5,Australia,2002,3.5013092
386,5,Australia,2003,3.4546185
387,5,Australia,2004,3.218602
388,5,Australia,2005,3.1399786
389,5,Australia,2006,2.8911996
390,5,Australia,2007,2.4497604
391,5,Australia,2008,2.1675441
392,5,Australia,2009,2.3388252
393,5,Australia,2010,2.5286407
394,5,Australia,2011,3.4641542
395,5,Australia,2012,3.040897
396,5,Australia,2013,3.3444307
397,5,Australia,2014,2.504923
398,5,Australia,2015,2.3686235
399,5,Australia,2016,2.9372425
400,5,Australia,2017,2.2426555
401,5,Australia,2018,2.8177204
402,5,Australia,2019,2.1995687
403,5,Australia,2020,2.386362
404,5,Australia,2021,2.6194305
405,5,Australia,2022,2.687364
406,6,Austria,1965,25.096405
407,6,Austria,1966,25.840193
408,6,Austria,1967,26.118929
409,6,Austria,1968,25.099167
410,6,Austria,1969,22.27537
411,6,Austria,1970,24.770256
412,6,Austria,1971,19.6523
413,6,Austria,1972,19.524149
414,6,Austria,1973,20.17739
415,6,Austria,1974,23.734526
416,6,Austria,1975,25.034246
417,6,Austria,1976,20.905321
418,6,Austria,1977,25.271303
419,6,Austria,1978,24.244625
420,6,Austria,1979,25.784454
421,6,Austria,1980,26.826015
422,6,Austria,1981,29.280653
423,6,Austria,1982,30.31977
424,6,Austria,1983,30.117786
425,6,Austria,1984,26.68983
426,6,Austria,1985,28.815756
427,6,Austria,1986,28.87882
428,6,Austria,1987,31.328129
429,6,Austria,1988,31.717916
430,6,Austria,1989,31.34343
431,6,Austria,1990,27.798573
432,6,Austria,1991,26.450718
433,6,Austria,1992,29.784689
434,6,Austria,1993,30.823692
435,6,Austria,1994,30.170261
436,6,Austria,1995,29.863268
437,6,Austria,1996,27.530771
438,6,Austria,1997,28.449774
439,6,Austria,1998,28.821587
440,6,Austria,1999,30.854315
441,6,Austria,2000,31.605165
442,6,Austria,2001,29.319004
443,6,Austria,2002,28.919693
444,6,Austria,2003,23.480003
445,6,Austria,2004,25.351429
446,6,Austria,2005,24.965694
447,6,Austria,2006,24.098305
448,6,Austria,2007,25.431547
449,6,Austria,2008,25.644213
450,6,Austria,2009,28.072512
451,6,Austria,2010,25.3431
452,6,Austria,2011,23.8465
453,6,Austria,2012,29.003752
454,6,Austria,2013,27.848297
455,6,Austria,2014,28.139103
456,6,Austria,2015,25.342236
457,6,Austria,2016,26.227722
458,6,Austria,2017,24.42708
459,6,Austria,2018,24.388065
460,6,Austria,2019,25.083723
461,6,Austria,2020,27.498987
462,6,Austria,2021,25.121042
463,6,Austria,2022,24.279097
464,52,Azerbaijan,1985,1.6519357
465,52,Azerbaijan,1986,0.9406936
466,52,Azerbaijan,1987,0.9706842
467,52,Azerbaijan,1988,0.842058
468,52,Azerbaijan,1989,0.8257339
469,52,Azerbaijan,1990,1.8816601
470,52,Azerbaijan,1991,2.0779731
471,52,Azerbaijan,1992,2.4099329
472,52,Azerbaijan,1993,3.8572147
473,52,Azerbaijan,1994,3.1670034
474,52,Azerbaijan,1995,2.8640726
475,52,Azerbaijan,1996,3.449877
476,52,Azerbaijan,1997,4.0128255
477,52,Azerbaijan,1998,4.5553145
478,52,Azerbaijan,1999,3.5244212
479,52,Azerbaijan,2000,3.4349427
480,52,Azerbaijan,2001,3.004117
481,52,Azerbaijan,2002,4.6939816
482,52,Azerbaijan,2003,5.2657747
483,52,Azerbaijan,2004,5.1585817
484,52,Azerbaijan,2005,5.165004
485,52,Azerbaijan,2006,4.3662996
486,52,Azerbaijan,2007,4.4247346
487,52,Azerbaijan,2008,4.1157107
488,52,Azerbaijan,2009,4.9265256
489,52,Azerbaijan,2010,7.4184694
490,52,Azerbaijan,2011,5.0353055
491,52,Azerbaijan,2012,3.3029988
492,52,Azerbaijan,2013,2.6242228
493,52,Azerbaijan,2014,2.238589
494,52,Azerbaijan,2015,2.563734
495,52,Azerbaijan,2016,3.0765138
496,52,Azerbaijan,2017,2.7777958
497,52,Azerbaijan,2018,2.7267013
498,52,Azerbaijan,2019,2.2972558
499,52,Azerbaijan,2020,1.5339547
500,52,Azerbaijan,2021,1.7080154
501,52,Azerbaijan,2022,2.1411028
502,54,Bangladesh,1971,3.859758
503,54,Bangladesh,1972,3.406534
504,54,Bangladesh,1973,5.024387
505,54,Bangladesh,1974,3.4634595
506,54,Bangladesh,1975,6.043976
507,54,Bangladesh,1976,5.868124
508,54,Bangladesh,1977,5.079776
509,54,Bangladesh,1978,5.5367117
510,54,Bangladesh,1979,5.825672
511,54,Bangladesh,1980,4.96088
512,54,Bangladesh,1981,5.0166492
513,54,Bangladesh,1982,3.8052511
514,54,Bangladesh,1983,4.870658
515,54,Bangladesh,1984,6.1055837
516,54,Bangladesh,1985,4.526682
517,54,Bangladesh,1986,2.5327973
518,54,Bangladesh,1987,2.6365013
519,54,Bangladesh,1988,3.0908637
520,54,Bangladesh,1989,3.907864
521,54,Bangladesh,1990,3.5392714
522,54,Bangladesh,1991,3.4776092
523,54,Bangladesh,1992,3.0288854
524,54,Bangladesh,1993,2.104329
525,54,Bangladesh,1994,2.7616804
526,54,Bangladesh,1995,1.0269947
527,54,Bangladesh,1996,1.9475645
528,54,Bangladesh,1997,1.8034276
529,54,Bangladesh,1998,2.0371237
530,54,Bangladesh,1999,1.9397291
531,54,Bangladesh,2000,1.6270729
532,54,Bangladesh,2001,1.8750032
533,54,Bangladesh,2002,1.4012063
534,54,Bangladesh,2003,1.3171519
535,54,Bangladesh,2004,1.2327929
536,54,Bangladesh,2005,1.1308868
537,54,Bangladesh,2006,1.0385537
538,54,Bangladesh,2007,1.0077149
539,54,Bangladesh,2008,1.2009366
540,54,Bangladesh,2009,0.47791368
541,54,Bangladesh,2010,0.8087857
542,54,Bangladesh,2011,0.88654226
543,54,Bangladesh,2012,0.72275114
544,54,Bangladesh,2013,0.64725643
545,54,Bangladesh,2014,0.48216227
546,54,Bangladesh,2015,0.6278601
547,54,Bangladesh,2016,0.61352813
548,54,Bangladesh,2017,0.67897165
549,54,Bangladesh,2018,0.5318645
550,54,Bangladesh,2019,0.44948316
551,54,Bangladesh,2020,0.40259814
552,54,Bangladesh,2021,0.37212086
553,54,Bangladesh,2022,0.40533337
554,56,Belarus,1985,0.0144934775
555,56,Belarus,1986,0.012695331
556,56,Belarus,1987,0.012513183
557,56,Belarus,1988,0.012336068
558,56,Belarus,1989,0.012754957
559,56,Belarus,1990,0.012691677
560,56,Belarus,1991,0.011448725
561,56,Belarus,1992,0.012468852
562,56,Belarus,1993,0.0166659
563,56,Belarus,1994,0.019936152
564,56,Belarus,1995,0.023589265
565,56,Belarus,1996,0.018399423
566,56,Belarus,1997,0.023874052
567,56,Belarus,1998,0.032551832
568,56,Belarus,1999,0.022707757
569,56,Belarus,2000,0.031301863
570,56,Belarus,2001,0.035543468
571,56,Belarus,2002,0.03299707
572,56,Belarus,2003,0.03189618
573,56,Belarus,2004,0.033357035
574,56,Belarus,2005,0.036277547
575,56,Belarus,2006,0.03296056
576,56,Belarus,2007,0.033573754
577,56,Belarus,2008,0.03669465
578,56,Belarus,2009,0.044475794
579,56,Belarus,2010,0.040784255
580,56,Belarus,2011,0.038527083
581,56,Belarus,2012,0.06068889
582,56,Belarus,2013,0.1275709
583,56,Belarus,2014,0.11114004
584,56,Belarus,2015,0.11194239
585,56,Belarus,2016,0.1393259
586,56,Belarus,2017,0.3888468
587,56,Belarus,2018,0.27899367
588,56,Belarus,2019,0.29959428
589,56,Belarus,2020,0.36631072
590,56,Belarus,2021,0.29364568
591,56,Belarus,2022,0.30124658
592,7,Belgium,1965,0.19477375
593,7,Belgium,1966,0.2222244
594,7,Belgium,1967,0.16850355
595,7,Belgium,1968,0.15502341
596,7,Belgium,1969,0.13315213
597,7,Belgium,1970,0.13480939
598,7,Belgium,1971,0.07485565
599,7,Belgium,1972,0.094584495
600,7,Belgium,1973,0.088658996
601,7,Belgium,1974,0.12884893
602,7,Belgium,1975,0.104461215
603,7,Belgium,1976,0.058647025
604,7,Belgium,1977,0.12029833
605,7,Belgium,1978,0.11473677
606,7,Belgium,1979,0.11701485
607,7,Belgium,1980,0.14521001
608,7,Belgium,1981,0.20929198
609,7,Belgium,1982,0.19124408
610,7,Belgium,1983,0.19912015
611,7,Belgium,1984,0.19903153
612,7,Belgium,1985,0.15589736
613,7,Belgium,1986,0.18055974
614,7,Belgium,1987,0.21921426
615,7,Belgium,1988,0.17986311
616,7,Belgium,1989,0.15168625
617,7,Belgium,1990,0.12658821
618,7,Belgium,1991,0.105330825
619,7,Belgium,1992,0.1571814
620,7,Belgium,1993,0.11899488
621,7,Belgium,1994,0.15410542
622,7,Belgium,1995,0.14870298
623,7,Belgium,1996,0.0989969
624,7,Belgium,1997,0.1250422
625,7,Belgium,1998,0.15641691
626,7,Belgium,1999,0.13810118
627,7,Belgium,2000,0.18298483
628,7,Belgium,2001,0.17582265
629,7,Belgium,2002,0.14326066
630,7,Belgium,2003,0.09404476
631,7,Belgium,2004,0.119468965
632,7,Belgium,2005,0.10906541
633,7,Belgium,2006,0.13471971
634,7,Belgium,2007,0.14407195
635,7,Belgium,2008,0.14852047
636,7,Belgium,2009,0.12796125
637,7,Belgium,2010,0.113241315
638,7,Belgium,2011,0.07577106
639,7,Belgium,2012,0.14291684
640,7,Belgium,2013,0.14754444
641,7,Belgium,2014,0.12162124
642,7,Belgium,2015,0.13042088
643,7,Belgium,2016,0.13960621
644,7,Belgium,2017,0.10038581
645,7,Belgium,2018,0.10827854
646,7,Belgium,2019,0.10780502
647,7,Belgium,2020,0.10556059
648,7,Belgium,2021,0.14816378
649,7,Belgium,2022,0.1208979
650,8,Brazil,1965,27.548725
651,8,Brazil,1966,27.618214
652,8,Brazil,1967,27.880291
653,8,Brazil,1968,25.555754
654,8,Brazil,1969,25.05622
655,8,Brazil,1970,25.959528
656,8,Brazil,1971,25.28348
657,8,Brazil,1972,25.973597
658,8,Brazil,1973,25.187544
659,8,Brazil,1974,25.64216
660,8,Brazil,1975,26.741674
661,8,Brazil,1976,28.014683
662,8,Brazil,1977,29.615337
663,8,Brazil,1978,29.43216
664,8,Brazil,1979,30.60272
665,8,Brazil,1980,33.05605
666,8,Brazil,1981,34.21749
667,8,Brazil,1982,35.12363
668,8,Brazil,1983,37.270332
669,8,Brazil,1984,38.49451
670,8,Brazil,1985,38.453815
671,8,Brazil,1986,37.28174
672,8,Brazil,1987,36.908936
673,8,Brazil,1988,38.406265
674,8,Brazil,1989,38.398285
675,8,Brazil,1990,39.031704
676,8,Brazil,1991,39.835537
677,8,Brazil,1992,40.28674
678,8,Brazil,1993,40.524914
679,8,Brazil,1994,39.896248
680,8,Brazil,1995,39.25123
681,8,Brazil,1996,38.79717
682,8,Brazil,1997,38.310345
683,8,Brazil,1998,38.663868
684,8,Brazil,1999,38.42771
685,8,Brazil,2000,38.192924
686,8,Brazil,2001,34.24804
687,8,Brazil,2002,35.532322
688,8,Brazil,2003,37.01313
689,8,Brazil,2004,36.814194
690,8,Brazil,2005,37.505043
691,8,Brazil,2006,37.489407
692,8,Brazil,2007,37.53081
693,8,Brazil,2008,35.331497
694,8,Brazil,2009,37.41251
695,8,Brazil,2010,35.144417
696,8,Brazil,2011,35.85249
697,8,Brazil,2012,33.57116
698,8,Brazil,2013,30.674585
699,8,Brazil,2014,28.382835
700,8,Brazil,2015,27.545898
701,8,Brazil,2016,29.71048
702,8,Brazil,2017,28.503946
703,8,Brazil,2018,29.606464
704,8,Brazil,2019,29.686031
705,8,Brazil,2020,30.668789
706,8,Brazil,2021,26.588255
707,8,Brazil,2022,29.894808
708,63,Bulgaria,1965,4.931371
709,63,Bulgaria,1966,4.6229753
710,63,Bulgaria,1967,4.0036206
711,63,Bulgaria,1968,2.3115647
712,63,Bulgaria,1969,2.9225402
713,63,Bulgaria,1970,3.0394952
714,63,Bulgaria,1971,2.9434657
715,63,Bulgaria,1972,2.7616532
716,63,Bulgaria,1973,3.2605417
717,63,Bulgaria,1974,2.5623977
718,63,Bulgaria,1975,2.7339408
719,63,Bulgaria,1976,3.1084793
720,63,Bulgaria,1977,3.5239036
721,63,Bulgaria,1978,2.805369
722,63,Bulgaria,1979,3.0763478
723,63,Bulgaria,1980,3.2677274
724,63,Bulgaria,1981,3.2318056
725,63,Bulgaria,1982,2.6594317
726,63,Bulgaria,1983,2.90392
727,63,Bulgaria,1984,2.839835
728,63,Bulgaria,1985,1.9635512
729,63,Bulgaria,1986,2.0015333
730,63,Bulgaria,1987,2.1663287
731,63,Bulgaria,1988,2.1662035
732,63,Bulgaria,1989,2.2651663
733,63,Bulgaria,1990,1.7079413
734,63,Bulgaria,1991,2.7433498
735,63,Bulgaria,1992,2.464117
736,63,Bulgaria,1993,2.174688
737,63,Bulgaria,1994,1.7086737
738,63,Bulgaria,1995,2.5057259
739,63,Bulgaria,1996,3.1733513
740,63,Bulgaria,1997,3.1661363
741,63,Bulgaria,1998,3.7024214
742,63,Bulgaria,1999,3.745924
743,63,Bulgaria,2000,3.6340146
744,63,Bulgaria,2001,2.2697885
745,63,Bulgaria,2002,2.9366899
746,63,Bulgaria,2003,3.8963988
747,63,Bulgaria,2004,4.187665
748,63,Bulgaria,2005,5.2576723
749,63,Bulgaria,2006,5.0083995
750,63,Bulgaria,2007,3.491326
751,63,Bulgaria,2008,3.4455686
752,63,Bulgaria,2009,4.7922907
753,63,Bulgaria,2010,6.635171
754,63,Bulgaria,2011,3.5806923
755,63,Bulgaria,2012,4.1400113
756,63,Bulgaria,2013,5.552601
757,63,Bulgaria,2014,5.8928123
758,63,Bulgaria,2015,6.7774153
759,63,Bulgaria,2016,4.8735967
760,63,Bulgaria,2017,3.449717
761,63,Bulgaria,2018,6.2227306
762,63,Bulgaria,2019,3.6502712
